Code,Paper Name,Credits
ES101,Programming in ‘C’,3
BS103,Applied Chemistry,3
BS105,Applied Physics I,3
ES107,Electrical Science,3
BS109,Environmental Studies,3
BS111,Applied Mathematics I,4
HS113,Communication Skills,3
HS115,Indian Constitution,2
HS117,Human Values and Ethics,1
ES119,Manufacturing Process,4
BS151,Physics I Lab,1
ES153,Programming in ‘C’ Lab,1
BS155,Applied Chemistry Lab,1
ES157,Engineering Graphics I,2
ES159,Electrical Science Lab,1
BS161,Environmental Studies Lab,1
ES102,Programming in ‘C’,3
BS104,Applied Chemistry,3
BS106,Applied Physics II,3
ES108,Electrical Science,3
BS110,Environmental Studies,3
BS112,Applied Mathematics II,4
HS114,Communication Skills,3
HS116,Indian Constitution,2
HS118,Human Values and Ethics,1
ES114,Engineering Mechanics,3
BS152,Physics II Lab,1
ES154,Programming in ‘C’ Lab,1
BS156,Applied Chemistry Lab,1
ES158,Engineering Graphics II,1
ES160,Electrical Science Lab,1
BS162,Environmental Studies Lab,1
ES164,Workshop Practice,2
ES201,Computational Methods,4
HS203,Indian Knowledge System,2
CIC205,Discrete Mathematics,4
ECC207,Digital Logic and Computer Design,4
CIC209,Data Structures,4
CIC211,Object Oriented Programming using C++,4
ES251,Computational Methods Lab,1
ECC253,Digital Logic and Computer Design Lab,1
CIC255,Data Structures Lab,1
CIC257,Object Oriented Programming using C++ Lab,1
BS202,"Probability Statistics and Linear Programming",4
HS204,Technical Writing,2
CIC206,Theory of Computation,4
EEC208,Circuits and Systems,4
CIC210,Database Management Systems,4
CIC212,Programming in Java,4
BS252,"Probability Statistics and Linear Programming Lab",1
EEC254,Circuits and Systems Lab,1
CIC256,Database Management Systems Lab,1
CIC258,Programming in Java Lab,1
HS301,Economics for Engineers,2
CIC303,Compiler Design,3
CIC305,Operating Systems,4
CIC307,Computer Networks,4
CIC309,Software Engineering,3
CIC311,Design and Analysis of Algorithm,4
CIC351,Compiler Design Lab,1
CIC353,Operating Systems Lab,1
CIC355,Computer Networks Lab,1
CIC357,Software Engineering Lab,1
CIC359,Design and Analysis of Algorithm Lab,1
ES361,Summer Training Report 1,1
MS302,Principles of Management for Engineers,3
HS304,Universal Human Values,1
PCE1,Programme Core Elective Paper 1,4
PCE2,Programme Core Elective Paper 2,4
PCE3,Programme Core Elective Paper 3,4
EAE1,Emerging Area,4
EAE2,Emerging Area,4
HS352,NSS / NCC / Cultural Clubs / Technical Society,2
MS401,Principles of Entrepreneurship Mindset,2
PCE4,Programme Core Elective Paper 4,4
PCE5,Programme Core Elective Paper 5,4
EAE3,Emerging Area,4
EAE4,Emerging Area,4
EAE5,Emerging Area,4
ES451,Minor Project,3
ES453,Summer Training Report 2,1
ES452,Major Project Dissertation and Viva Voce,18
ES454,Project Progress Evaluation,2
ES456,Internship Report and Viva Voce,18
ES458,Internship Progress Evaluation,2
CIE306T,Advanced Java Programming,3
CIE306P,Advanced Java Programming Lab,1
CIE308T,Visual Basic .NET Programming,3
CIE308P,Visual Basic .NET Programming Lab,1
CIE312,Engineering Optimization,4
CIE320,Principles of Programming Languages,4
CIE322T,Simulation and Modelling,3
CIE322P,Simulation and Modelling Lab,1
CIE330T,Introduction to Internet of Things,3
CIE330P,Introduction to Internet of Things Lab,1
CIE332T,Programming in Python,3
CIE332P,Programming in Python Lab,1
CIE334,Quantum Computing,4
CIE338T,Graph Theory for Computer Science,3
CIE338P,Graph Theory for Computer Science Lab,1
CIE348T,Software Project Management,3
CIE348P,Software Project Management Lab,1
CIE354T,Introduction to Digital Signal Processing,3
CIE354P,Introduction to Digital Signal Processing Lab,1
CIE356T,Web Technologies,3
CIE356P,Web Technologies Lab,1
CIE368T,Mobile Computing,3
CIE368P,Mobile Computing Lab,1
CIE370T,Parallel Computing,3
CIE370P,Parallel Computing Lab,1
CIE374T,Artificial Intelligence,3
CIE374P,Artificial Intelligence Lab,1
CIE403T,Blockchain Technology,3
CIE403P,Blockchain Technology Lab,1
CIE405T,Data Science,3
CIE405P,Data Science Lab,1
CIE407T,Distributed Systems and Cloud Computing,3
CIE407P,Distributed Systems and Cloud Computing Lab,1
CIE409T,Social Network Analysis and Sentiment Analysis,3
CIE409P,Social Network Analysis and Sentiment Analysis Lab,1
CIE413T,Next Generation Web,3
CIE413P,Next Generation Web Lab,1
CIE417T,C#.NET Programming,3
CIE417P,C#.NET Programming Lab,1
CIE419,Intellectual Property Rights,4
CIE421T,Machine Learning,3
CIE421P,Machine Learning Lab,1
CIE425T,Data Warehousing and Data Mining,3
CIE425P,Data Warehousing and Data Mining Lab,1
CIE431T,Web Mining,3
CIE431P,Web Mining Lab,1
CIE314,Advanced Computer Architecture,4
CIE316,Database Modelling and Design,4
CIE328T,Analog and Digital Communications,3
CIE328P,Analog and Digital Communications Lab,1
CIE336,E Commerce and M Commerce,4
CIE344T,Object Oriented Analysis and Design using UML,3
CIE344P,Object Oriented Analysis and Design using UML Lab,1
CIE360T,Introduction to Information and Communication Theory,3
CIE360P,Introduction to Information and Communication Theory Lab,1
CIE366T,Middleware Technologies,3
CIE366P,Middleware Technologies Lab,1
CIE415T,Wireless Communication and Networks,3
CIE415P,Wireless Communication and Networks Lab,1
CIE427,Introduction to Mobile Ad Hoc Networks,4
CIE310T,Advanced DBMS,3
CIE310P,Advanced DBMS Lab,1
CIE324,Software Testing,4
CIE340,IT Project Management,4
CIE346T,Service Oriented Architecture,3
CIE346P,Service Oriented Architecture Lab,1
CIE358T,Human Computer Interface,3
CIE358P,Human Computer Interface Lab,1
CIE372T,Software Requirements and Estimation,3
CIE372P,Software Requirements and Estimation Lab,1
CIE411T,Computer Graphics and Multimedia Technologies,3
CIE411P,Computer Graphics and Multimedia Technologies Lab,1
CIE423T,Data Visualization,3
